Адрес,Район,Количество комнат,Площадь м2,Этаж,Балкон,Высота потолков м,Санузел,Окна,Ремонт,Вид сделки,Тип дома,Количество этажей,Лифт,Год постройки,Дата публикации,Стоимость
"Республика Бурятия, Улан-Удэ, 47-й квартал, Конечная ул., 10к2",Октябрьский район,студия,27.7,4,балкон,NaN,совмещенный,во двор,требует ремонта,возможна ипотека,монолитно-кирпичный,12,1,2023,26 марта в 14:47,3950000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 58Ак2",Октябрьский район,3,72.7,1,"балкон, лоджия",2.8,раздельный,"во двор, на улицу, на солнечную сторону",евро,возможна ипотека,кирпичный,5,0,2007,7 апреля в 15:50,10000000
"Республика Бурятия, Улан-Удэ, ул. Смолина, 79",Советский район,студия,35,3,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,монолитный,9,1,2011,31 марта в 16:58,6990000
"Республика Бурятия, Улан-Удэ, Комсомольская ул., 6В",Железнодорожный район,1,35.8,5,балкон,2.5,совмещенный,"во двор, на солнечную сторону",евро,возможна ипотека,кирпичный,9,1,2014,31 марта в 15:21,7750000
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 138",Октябрьский район,1,30.9,3,балкон,2.5,совмещенный,"во двор, на солнечную сторону",косметический,возможна ипотека,панельный,5,0,1974,24 марта в 23:54,4100000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 66",Октябрьский район,3,64.6,1,балкон,2.7,раздельный,"во двор, на улицу, на солнечную сторону",евро,возможна ипотека,панельный,5,0,1985,2 апреля в 15:06,8500000
"Республика Бурятия, Улан-Удэ, Тобольская ул., 49",Октябрьский район,3,57.7,4,балкон,2.6,совмещенный,на солнечную сторону,евро,возможна ипотека,кирпичный,5,0,1974,2 апреля в 22:34,8358000
"Республика Бурятия, Улан-Удэ, Комсомольская ул., 6В",Железнодорожный район,1,35,6,балкон,2.6,совмещенный,на солнечную сторону,косметический,возможна ипотека,кирпичный,10,1,2014,30 марта в 23:02,5600000
"мкр. 140Б, д. 4.4",Октябрьский район,1,39.4,16,балкон,NaN,совмещенный,"на улицу, на солнечную сторону",косметический,возможна ипотека,монолитно-кирпичный,16,1,2014,7 апреля в 20:28,4800000
"Республика Бурятия, Улан-Удэ, 102-й мкр-н",Октябрьский район,2,49.1,2,балкон,2.7,совмещенный,на улицу,косметический,возможна ипотека,кирпичный,5,0,2014,1 апреля в 14:13,5160540
"мкр. 148-А, стр. 1",Октябрьский район,3,78.2,12,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,панельный,16,1,2014,31 марта в 11:05,4692000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 60Б/4",Октябрьский район,1,38.7,11,лоджия,NaN,совмещенный,NaN,евро,возможна ипотека,монолитно-кирпичный,16,1,2014,1 апреля в 16:36,6150000
"Республика Бурятия, Улан-Удэ, ул. Шумяцкого, 27",Октябрьский район,3,66,4,лоджия,2.7,раздельный,"во двор, на солнечную сторону",евро,возможна ипотека,панельный,5,0,1985,26 марта в 16:48,7400000
"Республика Бурятия, Улан-Удэ, ул. Цивилева, 27",Железнодорожный район,3,58,5,балкон,NaN,раздельный,"на улицу, на солнечную сторону",евро,возможна ипотека,кирпичный,5,0,1979,2 апреля в 23:04,7600000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 37",Железнодорожный район,5,91,1,NaN,NaN,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,возможна ипотека,кирпичный,5,0,1976,2 апреля в 20:17,6950000
"Республика Бурятия, Улан-Удэ, ул. Буйко, 19",Железнодорожный район,3,54,2,NaN,2.6,совмещенный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,5,0,1976,1 апреля в 16:29,5770000
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 136",Октябрьский район,3,65.3,4,балкон,NaN,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1976,31 марта в 19:36,6000000
"Республика Бурятия, Улан-Удэ, ул. имени Д.Ц. Дашиева, 4",Октябрьский район,2,63.4,9,"балкон, лоджия",NaN,раздельный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,12,1,2024,2 апреля в 12:03,6100000
"Республика Бурятия, Улан-Удэ, ул. Бабушкина, 17",Октябрьский район,2,41.7,5,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,0,2024,2 апреля в 15:12,5350000
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 130",Октябрьский район,1,33.5,3,балкон,NaN,совмещенный,NaN,косметический,возможна ипотека,панельный,5,0,2024,1 апреля в 16:39,4650000
"Республика Бурятия, Улан-Удэ, Профсоюзная ул., 42",Советский район,3,57,4,балкон,2.5,совмещенный,"во двор, на солнечную сторону",евро,возможна ипотека,панельный,5,0,1969,7 апреля в 14:43,8400000
"Республика Бурятия, Улан-Удэ, ул. Павлова, 15",Октябрьский район,1,31.4,5,NaN,NaN,совмещенный,на улицу,косметический,возможна ипотека,панельный,5,0,1969,1 апреля в 13:30,4280000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 1Б",Железнодорожный район,2,42.6,4,NaN,NaN,совмещенный,на улицу,евро,возможна ипотека,кирпичный,4,0,1969,1 апреля в 11:59,5600000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 25",Железнодорожный район,1,30.9,5,балкон,2.5,совмещенный,на солнечную сторону,косметический,возможна ипотека,кирпичный,5,0,1970,2 апреля в 11:27,4300000
"Республика Бурятия, Улан-Удэ, мкр-н Восточный, ул. Камова, 9",Железнодорожный район,2,58,5,балкон,3 м,раздельный,"во двор, на солнечную сторону",евро,возможна ипотека,кирпичный,5,0,1973,30 марта в 13:06,7835000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 25",Октябрьский район,3,60.8,1,"балкон, лоджия",NaN,раздельный,"во двор, на улицу",косметический,возможна ипотека,панельный,5,0,1985,20 марта в 16:21,7399000
"Республика Бурятия, Улан-Удэ, Тобольская ул., 39",Октябрьский район,3,49.5,5,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,кирпичный,5,0,1986,7 апреля в 09:37,5900000
"Республика Бурятия, Улан-Удэ, ул. Гагарина, 31",Железнодорожный район,2,41.1,1,балкон,NaN,совмещенный,во двор,евро,возможна ипотека,кирпичный,4,0,1986,1 апреля в 14:51,5970000
"Республика Бурятия, Улан-Удэ, ул. Антонова, 4",Железнодорожный район,3,58.9,1,балкон,NaN,совмещенный,NaN,евро,возможна ипотека,панельный,5,0,1994,2 апреля в 14:31,6800000
"Республика Бурятия, Улан-Удэ, ул. Жуковского, 23",Железнодорожный район,1,30.6,4,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,0,1971,1 апреля в 11:59,4100000
"Республика Бурятия, Улан-Удэ, ул. Борсоева, 27",Советский район,3,58.3,1,NaN,NaN,раздельный,NaN,косметический,возможна ипотека,панельный,5,0,1971,1 апреля в 12:52,7299000
"Республика Бурятия, Улан-Удэ, ул. Маяковского, 5",Железнодорожный район,2,51,5,"балкон, лоджия",NaN,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1988,2 апреля в 08:32,6700000
"Республика Бурятия, Улан-Удэ, ул. Смолина, 81",Советский район,1,33.2,10,"балкон, лоджия",NaN,совмещенный,на улицу,косметический,возможна ипотека,монолитный,10,1,2008,2 апреля в 12:02,6000000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 40",Октябрьский район,3,64.1,2,балкон,2.6,раздельный,"во двор, на улицу",косметический,возможна ипотека,панельный,5,1,1985,29 марта в 19:31,7450000
"мкр-н 140Б, д. 4.4",Октябрьский район,1,45.8,11,балкон,NaN,совмещенный,"на улицу, на солнечную сторону",косметический,возможна ипотека,монолитный,16,2,1985,1 апреля в 20:29,5650000
"Республика Бурятия, Улан-Удэ, ул. Борсоева, 25",Советский район,1,31.1,4,балкон,NaN,совмещенный,NaN,косметический,возможна ипотека,панельный,5,2,1971,29 марта в 16:24,5200000
"ул. Ключевская, д. 90Г, корп. 2",Октябрьский район,студия,32.1,15,лоджия,2.8,совмещенный,на улицу,косметический,возможна ипотека,монолитный,19,1,1971,1 апреля в 09:10,4050000
"Республика Бурятия, Улан-Удэ, ул. Гастелло, 15",Железнодорожный район,3,65,2,лоджия,2.9,раздельный,"во двор, на улицу, на солнечную сторону",дизайнерский,возможна ипотека,кирпичный,2,0,1969,29 марта в 17:02,7700000
"Республика Бурятия, Улан-Удэ, Кабанская ул., 22",Советский район,5,87.2,3,лоджия,2.6,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,0,1988,2 апреля в 11:20,8000000
"Республика Бурятия, Улан-Удэ, Пионерская ул., 17",Железнодорожный район,3,76,3,лоджия,NaN,раздельный,NaN,евро,возможна ипотека,кирпичный,9,1,1988,7 апреля в 21:33,11800000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 35",Октябрьский район,4,87.2,10,"балкон, лоджия",2.6,раздельный,"во двор, на улицу, на солнечную сторону",евро,возможна ипотека,панельный,10,1,1994,2 апреля в 21:35,11000000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 102",Октябрьский район,2,46,2,балкон,2.5,совмещенный,"во двор, на солнечную сторону",евро,возможна ипотека,панельный,5,1,1974,8 марта в 21:14,6600000
"Республика Бурятия, Улан-Удэ, мкр-н Загорск, Столичная ул., 4",Железнодорожный район,3,66,2,балкон,3 м,совмещенный,на улицу,косметический,возможна ипотека,панельный,5,0,1974,7 апреля в 11:47,6290000
"ул. Бабушкина, стр. 71",Октябрьский район,1,36.5,9,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,монолитно-кирпичный,14,1,1974,7 апреля в 18:33,5460000
"Республика Бурятия, Улан-Удэ, мкр-н Стеклозавод, Хрустальная ул., 2",Советский район,3,58.4,1,NaN,2.9,раздельный,на солнечную сторону,косметический,возможна ипотека,деревянный,2,0,1936,29 марта в 16:44,3400000
"мкр. 140Б, 6 очередь, 4 дом",Октябрьский район,2,60.3,7,балкон,2.7,совмещенный,во двор,косметический,возможна ипотека,монолитный,16,1,1936,30 марта в 12:13,6664000
"мкр. 104-й , д. 5",Октябрьский район,2,55,6,балкон,NaN,раздельный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,9,1,1936,31 марта в 23:42,8275000
"Республика Бурятия, Улан-Удэ, 47-й квартал, Конечная ул., 4",Октябрьский район,2,56.8,4,балкон,2.8,совмещенный,"во двор, на солнечную сторону",евро,возможна ипотека,монолитно-кирпичный,9,1,2019,30 марта в 16:38,9750000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 7А",Железнодорожный район,1,35,1,NaN,2.5,совмещенный,"во двор, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,1,2019,18 марта в 15:45,4350000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 42",Октябрьский район,2,54.9,3,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,0,1975,2 апреля в 10:05,5100000
"Республика Бурятия, Улан-Удэ, ул. имени Д.Ц. Дашиева, 7",Октябрьский район,3,68.5,1,балкон,2.9,раздельный,"во двор, на солнечную сторону",евро,возможна ипотека,монолитно-кирпичный,9,1,2023,28 марта в 10:15,7800000
"мкр. 148-А, стр. 2",Октябрьский район,1,38.2,11,балкон,2.7,совмещенный,на солнечную сторону,евро,возможна ипотека,панельный,16,1,2023,7 апреля в 16:00,2500000
"Республика Бурятия, Улан-Удэ, мкр-н Энергетик, 41",Октябрьский район,2,46.3,3,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,панельный,5,0,2023,7 апреля в 22:42,2630897
"Республика Бурятия, Улан-Удэ, ул. Ленина, 19",Советский район,2,33.7,1,NaN,2.5,совмещенный,"на улицу, на солнечную сторону",косметический,возможна ипотека,деревянный,2,0,1901,1 апреля в 09:06,1590000
"Республика Бурятия, Улан-Удэ, мкр-н Загорск, ул. Балдынова, 9",Железнодорожный район,2,43.6,2,NaN,2.8,совмещенный,во двор,требует ремонта,возможна ипотека,кирпичный,2,0,1954,7 апреля в 15:52,2400000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 94",Октябрьский район,1,34.2,4,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,панельный,5,0,1975,7 апреля в 14:13,4960000
"Республика Бурятия, Улан-Удэ, Геологическая ул., 30",Октябрьский район,3,52.4,1,NaN,2.5,совмещенный,на улицу,косметический,возможна ипотека,кирпичный,5,0,1975,сегодня в 01:27,7100000
"Республика Бурятия, Улан-Удэ, ул. Маяковского, 5",Железнодорожный район,2,51,5,"балкон, лоджия",NaN,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1988,2 апреля в 08:32,6700000
"Республика Бурятия, Улан-Удэ, ул. Смолина, 81",Советский район,студия,39.2,6,балкон,NaN,раздельный,на улицу,косметический,возможна ипотека,монолитно-кирпичный,10,1,2008,7 апреля в 23:54,6600000
"Республика Бурятия, Улан-Удэ, Солнечная ул., 23",Октябрьский район,3,59.5,1,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,панельный,5,1,1966,7 апреля в 20:04,6420000
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 17",Железнодорожный район,2,42,1,NaN,2.5,совмещенный,во двор,евро,возможна ипотека,кирпичный,5,0,1965,12 марта в 22:25,5400000
"Республика Бурятия, Улан-Удэ, Тобольская ул., 163",Октябрьский район,1,52.4,2,балкон,2.5,совмещенный,на улицу,евро,возможна ипотека,монолитно-кирпичный,10,1,2010,21 марта в 21:12,7180000
"ул. Боевая/Конечная, блоки 18-22",Октябрьский район,2,67.7,1,балкон,NaN,раздельный,во двор,евро,возможна ипотека,монолитно-кирпичный,12,1,2010,сегодня в 00:19,7900000
"Республика Бурятия, Улан-Удэ, ул. Калашникова, 11",Октябрьский район,3,79.2,5,лоджия,2.6,раздельный,"на улицу, на солнечную сторону",евро,возможна ипотека,кирпичный,6,0,2008,7 апреля в 13:00,12006000
"Республика Бурятия, Улан-Удэ, ул. Борсоева, 73",Советский район,3,64,5,балкон,2.4,раздельный,"во двор, на улицу, на солнечную сторону",евро,аукцион,кирпичный,5,0,1978,2 апреля в 21:17,8200000
"Республика Бурятия, Улан-Удэ, Путейская ул., 3",Железнодорожный район,1,33,3,балкон,2.5,совмещенный,во двор,требует ремонта,возможна ипотека,кирпичный,5,0,1993,7 апреля в 10:11,4700000
"Республика Бурятия, Улан-Удэ, ул. Чайковского, 16",Железнодорожный район,1,30.3,3,NaN,NaN,совмещенный,NaN,косметический,возможна ипотека,кирпичный,4,0,1963,7 апреля в 11:38,3570000
"Республика Бурятия, Улан-Удэ, ул. Фрунзе, 14",Советский район,2,42.8,3,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,0,1964,2 апреля в 22:42,6500000
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 25",Октябрьский район,2,51,5,балкон,3 м,совмещенный,"во двор, на солнечную сторону",евро,возможна ипотека,кирпичный,5,0,2014,7 апреля в 15:10,6400000
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 150",Октябрьский район,2,38.1,1,NaN,NaN,совмещенный,NaN,требует ремонта,возможна ипотека,кирпичный,5,0,1987,2 апреля в 13:13,3900000
"Республика Бурятия, Улан-Удэ, ул. Трубачеева, 152А",Октябрьский район,2,58.5,7,балкон,2.8,раздельный,"во двор, на улицу, на солнечную сторону",евро,возможна ипотека,монолитный,10,1,2012,7 апреля в 13:17,8250000
"Республика Бурятия, Улан-Удэ, ул. Смолина, 46",Советский район,2,42,3,балкон,2.5,раздельный,во двор,косметический,возможна ипотека,панельный,5,1,1973,2 апреля в 04:06,5700000
"Республика Бурятия, Улан-Удэ, мкр-н Стеклозавод, Хрустальная ул., 7",Советский район,2,39,2,NaN,NaN,совмещенный,"во двор, на улицу",требует ремонта,возможна ипотека,деревянный,2,1,1970,7 апреля в 17:01,1670000
"Республика Бурятия, Улан-Удэ, ул. Жуковского, 23",Железнодорожный район,1,30.6,4,балкон,2.5,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,1,1971,2 апреля в 09:17,3998000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 70",Октябрьский район,2,44.9,1,NaN,NaN,раздельный,на улицу,требует ремонта,возможна ипотека,панельный,5,1,1977,сегодня в 00:15,5250000
"Республика Бурятия, Улан-Удэ, 110-й мкр-н, 3",Октябрьский район,1,64,3,балкон,3.5,совмещенный,во двор,евро,возможна ипотека,кирпичный,5,0,1977,2 апреля в 12:14,5300000
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 33",Октябрьский район,1,33.6,2,балкон,2.6,совмещенный,"во двор, на улицу, на солнечную сторону",евро,возможна ипотека,кирпичный,3,0,2015,7 апреля в 17:28,4950000
"Республика Бурятия, Улан-Удэ, 112-й мкр-н, 31",Октябрьский район,2,59.8,2,балкон,NaN,раздельный,"во двор, на улицу",косметический,возможна ипотека,монолитно-кирпичный,5,0,2013,7 апреля в 10:09,7200000
"Республика Бурятия, Улан-Удэ, ул. Мира",Советский район,1,32,1,NaN,3000 м,"совмещенный, раздельный","во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,деревянный,1,0,2013,7 апреля в 09:32,1900000
"Республика Бурятия, Улан-Удэ, Солнечная ул., 5",Октябрьский район,5,97,2,NaN,NaN,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,монолитно-кирпичный,4,0,2013,7 апреля в 22:40,10000000
"Республика Бурятия, Улан-Удэ, ул. Борсоева, 73",Советский район,1,37.9,1,NaN,2.5,совмещенный,на улицу,косметический,возможна ипотека,кирпичный,5,0,1978,7 апреля в 17:17,5100000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 132",Октябрьский район,3,56.3,4,балкон,NaN,совмещенный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,5,0,1978,1 апреля в 19:25,6890000
"Республика Бурятия, Улан-Удэ, ул. Антонова, 2",Железнодорожный район,3,64,3,балкон,2.2,раздельный,"во двор, на улицу",евро,возможна ипотека,кирпичный,5,0,1978,сегодня в 00:15,7500000
"Республика Бурятия, Улан-Удэ, ул. Цивилева, 50",Железнодорожный район,1,38.8,2,балкон,NaN,совмещенный,на солнечную сторону,косметический,возможна ипотека,кирпичный,4,0,1997,7 апреля в 09:34,5200000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 25",Железнодорожный район,1,30.9,5,балкон,2.5,совмещенный,на солнечную сторону,косметический,возможна ипотека,кирпичный,5,0,1970,2 апреля в 11:27,4300000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 26",Октябрьский район,3,62,2,балкон,NaN,совмещенный,"на улицу, на солнечную сторону",косметический,возможна ипотека,панельный,5,0,1970,7 апреля в 11:55,8700000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 37",Железнодорожный район,2,64.2,2,лоджия,2.5,раздельный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,5,0,1974,2 апреля в 15:31,5500000
"Республика Бурятия, Улан-Удэ, мкр-н Вагжанова, Дивизионная ул. 1-й участок, 1",Советский район,2,61.3,3,NaN,3 м,совмещенный,на солнечную сторону,косметический,возможна ипотека,кирпичный,3,0,1974,7 апреля в 15:23,3150000
"Республика Бурятия, Улан-Удэ, ул. Иванова, 19",Железнодорожный район,3,66.1,5,балкон,2.5,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1996,7 апреля в 17:09,7100000
"мкр. 104-й , д. 5",Октябрьский район,2,55,6,балкон,NaN,раздельный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,9,0,1996,31 марта в 23:42,8275000
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 29",Октябрьский район,2,65.6,5,балкон,2.8,раздельный,на улицу,евро,возможна ипотека,монолитно-кирпичный,6,0,2014,1 апреля в 16:19,7800000
"Республика Бурятия, Улан-Удэ, 102-й мкр-н, ул. Ринчино, 28",Октябрьский район,1,33.5,1,лоджия,NaN,совмещенный,NaN,требует ремонта,возможна ипотека,кирпичный,5,0,2014,2 апреля в 18:14,3950000
"Республика Бурятия, Улан-Удэ, 112-й мкр-н, 30",Октябрьский район,1,32.8,3,лоджия,2.5,совмещенный,"на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,7,1,2014,2 апреля в 20:24,5150000
"Республика Бурятия, Улан-Удэ, Комсомольская ул., 42",Железнодорожный район,1,31.9,5,балкон,2.5,совмещенный,"во двор, на солнечную сторону",требует ремонта,возможна ипотека,кирпичный,5,0,1969,2 апреля в 09:56,4200000
"Республика Бурятия, Улан-Удэ, ул. Революции 1905 года, 12",Железнодорожный район,2,41.6,5,балкон,NaN,раздельный,"на улицу, на солнечную сторону",требует ремонта,возможна ипотека,панельный,5,0,1969,7 апреля в 18:15,6000000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 23",Октябрьский район,1,33,4,балкон,2.5,совмещенный,"на улицу, на солнечную сторону",косметический,возможна ипотека,панельный,5,0,1984,2 апреля в 17:01,4600000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 12",Октябрьский район,2,48,9,лоджия,NaN,раздельный,NaN,евро,возможна ипотека,панельный,9,1,1987,2 апреля в 13:10,6500000
"Республика Бурятия, Улан-Удэ, Комсомольская ул., 6В",Железнодорожный район,1,35.8,5,балкон,2.5,совмещенный,"во двор, на солнечную сторону",евро,возможна ипотека,кирпичный,9,1,2014,31 марта в 15:21,7750000
"мкр. 142, д. 4",Октябрьский район,1,37,3,балкон,NaN,совмещенный,на солнечную сторону,евро,возможна ипотека,монолитно-кирпичный,5,1,2014,7 апреля в 10:57,5600000
"Республика Бурятия, Улан-Удэ, ул. Лебедева, 3Б",Октябрьский район,2,32.4,4,балкон,2.5,совмещенный,"на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1979,31 марта в 07:11,4900000
"мкр. 148-А, стр. 3",Октябрьский район,1,43.8,6,лоджия,2.9,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,панельный,16,2,1979,7 апреля в 13:08,3450000
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 33",Октябрьский район,1,38.5,3,лоджия,2.5,совмещенный,"во двор, на улицу",евро,возможна ипотека,кирпичный,3,0,2015,7 апреля в 10:49,5750000
"Республика Бурятия, Улан-Удэ, Тобольская ул., 43",Октябрьский район,4,65.4,5,балкон,2.8,раздельный,"на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,2015,7 апреля в 18:08,7900000
"Республика Бурятия, Улан-Удэ, ул. Смолина, 79",Советский район,студия,19,3,лоджия,2.8,совмещенный,на улицу,косметический,возможна ипотека,монолитно-кирпичный,10,1,2015,2 апреля в 11:42,3700000
"ул. Корабельная, д. 47",Советский район,2,43.5,13,лоджия,2.7,совмещенный,"на улицу, на солнечную сторону",косметический,возможна ипотека,монолитный,18,1,2015,2 апреля в 14:37,7500000
"Республика Бурятия, Улан-Удэ, ул. Пушкина, 3",Железнодорожный район,2,39.3,1,NaN,2.6,совмещенный,во двор,требует ремонта,возможна ипотека,деревянный,2,0,1972,2 апреля в 14:18,3000000
"Республика Бурятия, Улан-Удэ, Краснофлотская ул., 26А",Октябрьский район,1,37,4,балкон,NaN,совмещенный,во двор,евро,возможна ипотека,кирпичный,5,0,2017,2 апреля в 13:48,6200000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 66",Октябрьский район,2,50,6,балкон,NaN,совмещенный,"во двор, на солнечную сторону",евро,возможна ипотека,панельный,9,1,1985,1 апреля в 21:03,7500000
"Республика Бурятия, Улан-Удэ, 110-й мкр-н, 6/1",Октябрьский район,2,50.1,13,лоджия,2.7,совмещенный,"на улицу, на солнечную сторону",евро,возможна ипотека,монолитно-кирпичный,14,1,2009,2 апреля в 21:54,5250000
"Республика Бурятия, Улан-Удэ, Тобольская ул., 39",Октябрьский район,3,49.5,5,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,кирпичный,5,0,1986,7 апреля в 09:37,5900000
"Республика Бурятия, Улан-Удэ, ул. Сенчихина, 1",Железнодорожный район,3,66.7,7,лоджия,2.7,раздельный,"во двор, на улицу, на солнечную сторону",евро,возможна ипотека,панельный,10,1,1988,2 апреля в 13:53,8200888
"Республика Бурятия, Улан-Удэ, Партизанская ул., 29",Советский район,2,40,1,NaN,3.5,совмещенный,"во двор, на солнечную сторону",евро,возможна ипотека,деревянный,2,0,1935,1 апреля в 13:14,2900000
"Республика Бурятия, Улан-Удэ, мкр-н Энергетик, 56А",Октябрьский район,3,61.1,1,балкон,2.5,совмещенный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,3,0,2013,7 апреля в 15:37,7500000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 132",Октябрьский район,1,31,5,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,0,2013,1 апреля в 20:13,4200000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 60",Октябрьский район,2,49,3,балкон,NaN,раздельный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,5,0,1985,1 апреля в 19:45,6000000
"Республика Бурятия, Улан-Удэ, ул. Гагарина, 73А",Железнодорожный район,2,50,2,балкон,NaN,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1985,7 апреля в 21:45,6200000
"Республика Бурятия, Улан-Удэ, 111-й мкр-н, 34",Октябрьский район,студия,25,5,NaN,2.5,совмещенный,во двор,косметический,возможна ипотека,монолитный,5,0,2018,2 апреля в 23:37,3100000
"Республика Бурятия, Улан-Удэ, 111-й мкр-н, 3",Октябрьский район,3,66.4,3,лоджия,NaN,раздельный,на солнечную сторону,евро,возможна ипотека,панельный,5,0,1991,7 апреля в 13:18,8600000
"Республика Бурятия, Улан-Удэ, ул. Банзарова, 30",Советский район,3,44.6,2,NaN,3 м,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,деревянный,2,0,1991,2 апреля в 12:06,2400000
"Республика Бурятия, Улан-Удэ, ул. Смолина, 79",Советский район,студия,35,3,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,монолитный,9,1,2011,31 марта в 16:58,6990000
"Республика Бурятия, Улан-Удэ, Тобольская ул., 163",Октябрьский район,1,52.7,10,балкон,NaN,совмещенный,NaN,косметический,возможна ипотека,монолитный,10,1,2010,1 апреля в 20:22,7900000
"Республика Бурятия, Улан-Удэ, Кабанская ул., 18",Советский район,3,64,3,NaN,NaN,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,1,1983,7 апреля в 15:06,7500000
"Республика Бурятия, Улан-Удэ, мкр-н Аэропорт, 27",Советский район,1,33.2,4,"балкон, лоджия",2.6,совмещенный,на улицу,косметический,возможна ипотека,панельный,5,1,1983,7 апреля в 12:36,4200000
"Республика Бурятия, Улан-Удэ, ул. Шумяцкого, 14",Октябрьский район,4,91,5,лоджия,2.7,раздельный,"во двор, на улицу, на солнечную сторону",евро,возможна ипотека,кирпичный,5,0,1987,2 апреля в 02:25,9000000
"Республика Бурятия, Улан-Удэ, ул. Пушкина, 35",Железнодорожный район,1,25.2,5,NaN,NaN,раздельный,на солнечную сторону,косметический,возможна ипотека,кирпичный,5,0,1983,1 апреля в 18:17,2350000
"Республика Бурятия, Улан-Удэ, 47-й квартал, Конечная ул., 7",Октябрьский район,3,76.2,6,балкон,NaN,раздельный,на улицу,косметический,возможна ипотека,монолитно-кирпичный,18,2,2016,2 апреля в 14:47,11500000
"Республика Бурятия, Улан-Удэ, ул. Павлова, 15",Октябрьский район,1,31.4,5,NaN,NaN,совмещенный,на улицу,косметический,возможна ипотека,панельный,5,0,2016,1 апреля в 13:30,4280000
