Адрес,Район,Количество комнат,Площадь м2,Этаж,Балкон,Высота потолков м,Санузел,Окна,Ремонт,Вид сделки,Тип дома,Количество этажей,Лифт,Год постройки,Дата публикации,Стоимость
"Республика Бурятия, Улан-Удэ, ул. Гагарина, 60",Железнодорожный район,3,94.4,2,балкон,2.8,совмещенный,"во двор, на улицу, на солнечную сторону",евро,возможна ипотека,кирпичный,6,0,2010,17 марта в 15:10,12500000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 132",Октябрьский район,3,56.4,1,балкон,NaN,раздельный,NaN,евро,возможна ипотека,кирпичный,5,0,NaN,19 марта в 21:29,7800000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 53",Октябрьский район,3,64,5,балкон,NaN,раздельный,"во двор, на улицу",требует ремонта,возможна ипотека,панельный,5,0,1988,14 марта в 16:15,6600000
"Республика Бурятия, Улан-Удэ, мкр-н Восточный, ул. Королёва, 6",Железнодорожный район,2,44,2,балкон,2.4,совмещенный,"во двор, на солнечную сторону",евро,возможна ипотека,кирпичный,5,0,1976,11 марта в 19:33,5700000
"Республика Бурятия, Улан-Удэ, 112-й мкр-н, 35",Октябрьский район,1,33,1,балкон,NaN,совмещенный,"на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,NaN,2014,12 марта в 16:14,5500000
"Республика Бурятия, Улан-Удэ, ул. Воровского, 27",Советский район,2,48,5,лоджия,NaN,раздельный,"во двор, на солнечную сторону",косметический,возможна ипотека,панельный,9,NaN,1995,11 марта в 17:36,7000000
"ул. Бабушкина, стр. 4",Октябрьский район,студия,23.1,16,балкон,NaN,совмещенный,NaN,NaN,возможна ипотека,блочный,18,1,NaN,13 марта в 05:15,3450000
"Республика Бурятия, Улан-Удэ, ул. Шумяцкого, 7",Октябрьский район,3,64.9,5,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,панельный,5,0,NaN,13 марта в 15:16,6900000
"Республика Бурятия, Улан-Удэ, Современная ул., 1",Октябрьский район,1,35,2,балкон,NaN,совмещенный,NaN,евро,NaN,блочный,13,1,NaN,11 марта в 23:39,4500000
"ул. Жердева, д. 42Б, корп. 2",Октябрьский район,2,51,3,лоджия,2.6,совмещенный,"на улицу, на солнечную сторону",NaN,NaN,монолитно-кирпичный,16,1,NaN,14 марта в 13:40,9600000
"Республика Бурятия, Улан-Удэ, Пристанская ул., 10",Советский район,4,62.7,3,балкон,2.6,раздельный,"во двор, на солнечную сторону",косметический,NaN,кирпичный,5,0,1974,19 марта в 13:45,9700000
"Республика Бурятия, Улан-Удэ, Кабанская ул., 20",Советский район,3,66,1,NaN,3.5,раздельный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,5,NaN,1986,14 марта в 23:01,6500000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 58",Октябрьский район,1,34.3,4,балкон,NaN,совмещенный,на улицу,евро,возможна ипотека,панельный,5,NaN,1976,15 марта в 22:34,4950000
"Республика Бурятия, Улан-Удэ, 111-й мкр-н, 34",Октябрьский район,1,24.7,1,NaN,NaN,совмещенный,во двор,косметический,NaN,кирпичный,5,0,2017,11 марта в 15:10,3900000
"Республика Бурятия, Улан-Удэ, Ермаковская ул., 7",Советский район,3,107,4,"балкон, лоджия",2.8,совмещенный,"во двор, на улицу, на солнечную сторону",евро,NaN,кирпичный,5,0,2005,13 марта в 22:58,14200000
"Республика Бурятия, Улан-Удэ, 111-й мкр-н, 28",Октябрьский район,1,27.1,1,балкон,NaN,совмещенный,NaN,косметический,возможна ипотека,кирпичный,2,0,NaN,12 марта в 15:29,3600000
