Адрес,Широта,Долгота
"Республика Бурятия, Улан-Удэ, ул. Мокрова, 24",51.80445265,107.64934911858333
"Республика Бурятия, Улан-Удэ, Профсоюзная ул., 40",51.83100225,107.58916242340706
"Республика Бурятия, Улан-Удэ, мкр-н Энергетик, 40",,
"Республика Бурятия, Улан-Удэ, пер. Толстого, 2",51.8251525,107.6005238
"Республика Бурятия, Улан-Удэ, Тобольская ул., 59",51.81550935,107.66450569819743
"Республика Бурятия, Улан-Удэ, ул. Смолина, 46",51.837674,107.5772993
"Республика Бурятия, Улан-Удэ, б-р Карла Маркса, 7А",,
"кв-л 115, стр. 17",,
"Республика Бурятия, Улан-Удэ, б-р Карла Маркса, 17",,
"Республика Бурятия, Улан-Удэ, ул. Революции 1905 года, 32А",51.8377818,107.59119582699404
"Республика Бурятия, Улан-Удэ, ул. Комарова, 21",51.8565425,107.7050007
"Республика Бурятия, Улан-Удэ, Ключевская ул., 90В",51.8215801,107.6302315
"мкр. 148-А, стр. 1",,
"Республика Бурятия, Улан-Удэ, ул. Буйко, 19",51.847737949999996,107.62308295
"Республика Бурятия, Улан-Удэ, ул. Бабушкина, 17",51.81070015,107.59717950000001
"Республика Бурятия, Улан-Удэ, ул. Антонова, 18",,
"Республика Бурятия, Улан-Удэ, Краснофлотская ул., 26А",51.8176704,107.66968153536585
"Республика Бурятия, Улан-Удэ, ул. Сентарецкого, 23",51.851690149999996,107.6168534
"Республика Бурятия, Улан-Удэ, ул. Жердева, 46",51.808312099999995,107.65727810000001
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 42",,
"Республика Бурятия, Улан-Удэ, ул. Строителей, 30",51.84245585,107.51642398410041
"Республика Бурятия, Улан-Удэ, Краснофлотская ул., 8",51.81350449999999,107.66788780584956
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 68",,
"Республика Бурятия, Улан-Удэ, ул. Жуковского, 23",51.8487023,107.58562975
"ул. Бабушкина, стр. 1",56.3608262,61.9866203
"Республика Бурятия, Улан-Удэ, ул. Жуковского, 23",51.8487023,107.58562975
"105-й мкр., стр. 1",,
"Республика Бурятия, Улан-Удэ, мкр-н 140А, 5",,
"Республика Бурятия, Улан-Удэ, ул. Добролюбова, 7",51.846457799999996,107.58656585
"Республика Бурятия, Улан-Удэ, Ключевская ул., 144",51.82006375,107.66535947290282
"Республика Бурятия, Улан-Удэ, Ключевская ул., 76А",51.819687200000004,107.65844340394648
"мкр. 128/ул. им. Дашиева, жилые дома",,
"Республика Бурятия, Улан-Удэ, Геологическая ул., 23",51.8123627,107.60408363474346
"Республика Бурятия, Улан-Удэ, ул. Революции 1905 года, 16",51.83533315,107.59317525659921
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 44",,
"ул. Москалёва, стр. 12",,
"Республика Бурятия, Улан-Удэ, мкр-н Стеклозавод, Керамическая ул., 6",,
"Республика Бурятия, Улан-Удэ, мкр-н Энергетик, 35",,
"Республика Бурятия, Улан-Удэ, мкр-н Южный, ул. Бограда, 61",,
"Республика Бурятия, Улан-Удэ, 110-й мкр-н, 14",,
"Республика Бурятия, Улан-Удэ, Профсоюзная ул., 35",51.8321642,107.5913658164844
"Республика Бурятия, Улан-Удэ, Ключевская ул., 60Б/4",51.8215801,107.6302315
"Республика Бурятия, Улан-Удэ, ул. Бабушкина, 178",51.8001946,107.60391073074203
"Республика Бурятия, Улан-Удэ, 110-й мкр-н, 14",,
"пр-т Строителей, стр. 5А",,
"Республика Бурятия, Улан-Удэ, ул. Комарова, 11",51.86182565,107.71764287600473
"Республика Бурятия, г.о. Улан-Удэ,Октябрьский район, Горхонская ул., 9",,
"Республика Бурятия, Улан-Удэ, ул. Гагарина, 31",51.8402793,107.59210225000001
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 46",51.8426657,107.62884595
"Республика Бурятия, Улан-Удэ, Солнечная ул., 27",51.81088965,107.6162686
"Республика Бурятия, Улан-Удэ, мкр-н 148А",,
"Республика Бурятия, Улан-Удэ, ул. Гагарина, 41",51.84236745,107.58854401478396
"Республика Бурятия, Улан-Удэ, ул. Строителей, 41",51.84137165,107.51656201791582
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 24",51.8466955,107.61649997740788
"Республика Бурятия, Улан-Удэ, мкр-н Энергетик, 37",,
"Республика Бурятия, Улан-Удэ, ул. Пушкина, 33",51.84694815,107.58423966407533
"Республика Бурятия, Улан-Удэ, ул. Борсоева, 73",51.84368945,107.57193782011629
"ул. Москалёва, стр. 12",,
"Республика Бурятия, Улан-Удэ, мкр-н Энергетик, 42",,
"Республика Бурятия, Улан-Удэ, ул. Борсоева, 23",51.8393239,107.58030044039918
"Республика Бурятия, Улан-Удэ, Пристанская ул., 10",51.84209225,107.57356261504745
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 37",51.8440808,107.63087430038672
"Республика Бурятия, Улан-Удэ, ул. Калашникова, 18",51.807385499999995,107.64566357612063
"Республика Бурятия, Улан-Удэ, ул. Павлова, 65",51.80716125,107.62443724631424
"мкр. 148-А, стр. 2",,
"Республика Бурятия, Улан-Удэ, Ключевская ул., 66",51.821296700000005,107.65223091655173
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 21",,
"Республика Бурятия, Улан-Удэ, ул. имени Д.Ц. Дашиева, 4",,
"Республика Бурятия, Улан-Удэ, 111-й мкр-н",,
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 31",,
"Республика Бурятия, Улан-Удэ, ул. Жердева, 64",51.80541195,107.65573280626333
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 25А",,
"ул. Бабушкина, стр. 1",59.5721416,60.6137539
"Республика Бурятия, Улан-Удэ, Ключевская ул., 6Д",51.8217809,107.6413895
"Республика Бурятия, Улан-Удэ, 115-й мкр-н, 8",,
"Республика Бурятия, Улан-Удэ, ул. Жердева, 58",51.8060243,107.6549301
"Республика Бурятия, Улан-Удэ, ул. Сахьяновой, 19",51.8053904,107.6237297
"Республика Бурятия, Улан-Удэ, ул. Терешковой, 38",51.8100943,107.61448990040572
"Республика Бурятия, Улан-Удэ, ул. Бабушкина, 27",51.80439085,107.60413932318343
"Республика Бурятия, Улан-Удэ, ул. Павлова, 7",51.80765555,107.6128874
"Республика Бурятия, Улан-Удэ, б-р Карла Маркса, 31",,
"Республика Бурятия, Улан-Удэ, ул. Гагарина, 53",51.8459117,107.58222964999999
"Республика Бурятия, Улан-Удэ, ул. Лимонова, 6",51.8425268,107.61685944999999
"Республика Бурятия, Улан-Удэ, мкр-н Новая Комушка, Яблоневый пер., 19",,
"Республика Бурятия, Улан-Удэ, Корабельная ул., 47",51.83256215,107.57801470175474
